id,owner,num_layers,num_params,has_recurrence,backbone,policy_algo,training_steps
425136,drumplstiltskin,93,4491845,True,resnet,ppo,
425091,drumplstiltskin,93,4491845,True,resnet,ppo,
425047,drumplstiltskin,93,4491845,True,resnet,ppo,
424461,drumplstiltskin,85,4491845,True,cnn,ppo,
424378,drumplstiltskin,66,2916933,False,cnn,ppo,
422637,drumplstiltskin,66,2916933,False,cnn,ppo,
420361,utsab77,89,233678,False,cnn+channel attention,ppo,
420263,utsab77,89,233678,False,cnn+channel attention,ppo,
420215,alluding123,35,1924776,False,cnn,ppo,
420058,alluding123,35,1924776,False,cnn,ppo,
419993,utsab77,89,233678,False,cnn+channel attention,ppo,
419960,utsab77,89,233678,False,cnn+channel attention,ppo,
419918,retrievers,145,4451177,False,transformer,ppo,
419061,retrievers,145,4451177,False,transformer,ppo,
418616,retrievers,104,3530089,False,transformer,ppo,
418612,alluding123,35,1924776,False,cnn,ppo,
418307,retrievers,64,2609001,False,cnn,ppo,
418252,loser1,64,2609001,False,cnn,ppo,
418210,loser1,64,2609001,False,cnn,ppo,
418202,retrievers,64,2609001,False,cnn,ppo,
418175,retrievers,64,2609001,False,cnn,ppo,
418078,retrievers,64,2609001,False,cnn,ppo,
418039,alluding123,35,1924776,False,cnn,ppo,
418030,retrievers,64,2609001,False,cnn,ppo,
417856,alluding123,35,1924776,False,cnn,ppo,
417033,alluding123,35,1924776,False,cnn,ppo,
415559,retrievers,62,1925801,False,cnn,ppo,
415204,retrievers,62,1925801,False,cnn,ppo,
414469,alluding123,35,1924776,False,cnn,ppo,
412967,hoa_angela,56,1925800,False,cnn,ppo,
412282,retrievers,56,1925800,False,cnn,ppo,
412230,retrievers,56,1925800,False,cnn,ppo,
412192,retrievers,56,1925800,False,cnn,ppo,
411514,retrievers,189,2879425,False,moe,ppo,
407981,drumplstiltskin,35,4039848,False,cnn,ppo,
406439,alluding123,35,1924776,False,cnn,ppo,
404259,alluding123,35,1924776,False,cnn,ppo,
403175,alluding123,35,1924776,False,cnn,ppo,
401653,retrievers,122,2280488,True,resnet,ppo,
401279,retrievers,79,1557032,False,resnet,ppo,
401230,retrievers,79,1557032,False,resnet,ppo,
401179,retrievers,79,1557032,False,resnet,ppo,
399187,alluding123,35,1924776,False,cnn,ppo,
398244,chisboiz111,189,2879425,False,moe,ppo,
398175,retrievers,111,1833080,True,cnn+grn,ppo,
398171,retrievers,111,1833080,True,cnn+grn,ppo,
398169,retrievers,111,1833080,True,cnn+grn,ppo,
398166,loser1,189,2879425,False,moe,ppo,
398135,chisboiz111,111,1833080,True,cnn+grn,ppo,
398134,chisboiz111,111,1833080,True,cnn+grn,ppo,
398113,retrievers,111,1833080,True,cnn+grn,ppo,
398104,retrievers,111,1833080,True,cnn+grn,ppo,
398098,retrievers,111,1833080,True,cnn+grn,ppo,
397798,rewardisenough,50,1620360,False,resnet,ppo,
397797,utsab,36,1064848,False,cnn+patch,ppo,
397764,rewardisenough,79,1557032,False,resnet,ppo,
397071,alluding123,35,1924776,False,cnn,ppo,
396502,rewardisenough,39,3629769,False,cnn,ppo,
396496,utsab,36,1064848,False,cnn+patch,ppo,
396281,rewardisenough,35,3628712,False,cnn,ppo,
395499,rewardisenough,79,1557032,False,resnet,ppo,9976.0
395424,rewardisenough,35,1924776,False,cnn,ppo,20051.0
395008,alluding123,35,1924776,False,cnn,ppo,
394879,utsab,41,675784,False,cnn+patch,ppo,94965.0
394734,utsab,41,675784,False,cnn+patch,ppo,
392377,utsab,35,7413736,False,cnn,ppo,
385491,aerove,29,1924779,False,cnn,ppo,20005.0
384830,aerove,29,1924779,False,cnn,ppo,20005.0
378811,retrievers,118,2392696,True,cnn+grn,ppo,1219986.0
378803,retrievers,118,2392696,True,cnn+grn,ppo,1159978.0
378795,retrievers,118,2392696,True,cnn+grn,ppo,1099985.0
376888,chisboiz111,189,2879425,False,moe,ppo,249979.0
375465,retrievers,46,1921592,True,cnn,ppo,1199991.0
375438,retrievers,46,1921592,True,cnn,ppo,1479983.0
375405,retrievers,46,1921592,True,cnn,ppo,1379979.0
374624,chisboiz111,189,2879425,False,moe,ppo,409984.0
374623,chisboiz111,189,2879425,False,moe,ppo,309982.0
374622,chisboiz111,189,2879425,False,moe,ppo,249989.0
374621,chisboiz111,189,2879425,False,moe,ppo,209971.0
374338,chisboiz111,189,2879425,False,moe,ppo,279985.0
374333,chisboiz111,189,2879425,False,moe,ppo,209987.0
374312,chisboiz111,189,2879425,False,moe,ppo,249996.0
374311,chisboiz111,189,2879425,False,moe,ppo,209987.0
374310,chisboiz111,189,2879425,False,moe,ppo,149985.0
374149,retrievers,46,1921592,True,cnn,ppo,399981.0
371844,chisboiz111,189,2879425,False,moe,ppo,299985.0
371843,chisboiz111,189,2879425,False,moe,ppo,249995.0
371842,chisboiz111,189,2879425,False,moe,ppo,199986.0
371841,chisboiz111,189,2879425,False,moe,ppo,349985.0
371840,chisboiz111,189,2879425,False,moe,ppo,399990.0
371338,chisboiz111,189,2879425,False,moe,ppo,309989.0
371333,chisboiz111,189,2879425,False,moe,ppo,249992.0
371332,chisboiz111,189,2879425,False,moe,ppo,209982.0
371331,chisboiz111,189,2879425,False,moe,ppo,159977.0
371329,chisboiz111,189,2879425,False,moe,ppo,109991.0
370770,retrievers,189,2879425,False,moe,ppo,339992.0
370769,retrievers,189,2879425,False,moe,ppo,299990.0
370718,chisboiz111,189,2879425,False,moe,ppo,419986.0
370717,chisboiz111,189,2879425,False,moe,ppo,359988.0
370264,chisboiz111,189,2879425,False,moe,ppo,259977.0
370263,chisboiz111,189,2879425,False,moe,ppo,159993.0
370228,chisboiz111,189,2879425,False,moe,ppo,199983.0
370222,retrievers,189,2879425,False,moe,ppo,319986.0
370220,retrievers,189,2879425,False,moe,ppo,259989.0
370219,retrievers,189,2879425,False,moe,ppo,199993.0
370027,tstst,80,1557032,False,resnet,ppo,19998.0
370005,retrievers,189,2879425,False,moe,ppo,19997.0
369767,retrievers,189,2879425,False,moe,ppo,359988.0
369672,chisboiz111,189,2879425,False,moe,ppo,199981.0
369662,chisboiz111,189,2879425,False,moe,ppo,259994.0
369603,chisboiz111,189,2879425,False,moe,ppo,159984.0
369592,chisboiz111,189,2879425,False,moe,ppo,205141.0
369580,chisboiz111,137,2384702,False,moe,ppo,99946.0
369338,retrievers,189,2879425,False,moe,ppo,359974.0
369208,retrievers,189,2879425,False,moe,ppo,339997.0
369130,chisboiz111,189,2879425,False,moe,ppo,379999.0
369087,chisboiz111,189,2879425,False,moe,ppo,339997.0
369019,chisboiz111,189,2879425,False,moe,ppo,199986.0
369017,chisboiz111,189,2879425,False,moe,ppo,299983.0
369016,chisboiz111,189,2879425,False,moe,ppo,259984.0
369015,retrievers,286,17870417,False,moe,ppo,519976.0
368967,retrievers,286,17870417,False,moe,ppo,199994.0
368923,retrievers,286,17870417,False,moe,ppo,1139998.0
368878,pingsheng-li,22,1859753,False,cnn,sac,
368751,chisboiz111,286,17870417,False,moe,ppo,199996.0
368663,sazeglio,25,1925545,False,cnn,sac,3613.0
368643,loser1,286,17870417,False,moe,ppo,99981.0
368628,retrievers,286,17870417,False,moe,ppo,79998.0
368622,retrievers,286,17870417,False,moe,ppo,59975.0
368578,retrievers,286,17870417,False,moe,ppo,319976.0
368551,retrievers,286,17870417,False,moe,ppo,219977.0
368507,retrievers,286,17870417,False,moe,ppo,375323.0
368474,loser1,286,17870417,False,moe,ppo,219959.0
368043,sazeglio,25,1925545,False,cnn,sac,
367669,retrievers,107,1245508,False,moe,ppo,139961.0
366999,pingsheng-li,25,1925545,False,,sac,
365561,sazeglio,25,1925545,False,cnn,sac,299998.0
365438,ashish_gupta,275,11127001,False,invalid,unknown,
364445,retrievers,37,1395256,False,cnn,ppo,
364231,sazeglio,25,1925545,False,cnn,sac,399997.0
364120,sazeglio,25,1925545,False,cnn,sac,
361762,chisboiz111,79,1557032,False,resnet,ppo,500017.0
361755,loser1,79,3278888,False,resnet,ppo,119988.0
361716,loser1,79,3278888,False,resnet,ppo,179991.0
361659,chisboiz111,79,1557032,False,resnet,ppo,219992.0
361658,chisboiz111,79,1557032,False,resnet,ppo,299989.0
361587,retrievers,79,3278888,False,resnet,ppo,500007.0
361555,retrievers,79,3278888,False,resnet,ppo,399983.0
361540,retrievers,79,1557032,False,resnet,ppo,239987.0
361509,retrievers,79,3278888,False,resnet,ppo,199984.0
361485,retrievers,79,3278888,False,resnet,ppo,119979.0
359962,retrievers,37,1395256,False,cnn,ppo,179994.0
359946,chisboiz111,37,1395256,False,cnn,ppo,159997.0
359921,chisboiz111,33,1395256,False,cnn,ppo,500029.0
359914,chisboiz111,37,1395256,False,cnn,ppo,179994.0
359895,chisboiz111,35,7622728,False,cnn,ppo,359986.0
359198,chisboiz111,37,1395256,False,cnn,ppo,500027.0
359096,chisboiz111,35,7622728,False,cnn,ppo,109975.0
359078,chisboiz111,35,7622728,False,cnn,ppo,709986.0
359077,chisboiz111,35,7622728,False,cnn,ppo,509980.0
358722,sazeglio,28,1925545,False,cnn,sac,
358681,sazeglio,28,1925545,False,cnn,sac,
358636,chisboiz111,35,7622728,False,cnn,ppo,500009.0
358635,chisboiz111,35,7622728,False,cnn,ppo,459999.0
358448,chisboiz111,35,7622728,False,cnn,ppo,399986.0
358447,chisboiz111,35,7622728,False,cnn,ppo,500014.0
358413,retrievers,79,1557032,False,resnet,ppo,339980.0
358403,retrievers,79,1557032,False,resnet,ppo,500022.0
358360,sazeglio,28,1925545,False,cnn,sac,
358328,sazeglio,28,1925545,False,cnn,sac,
358220,retrievers,79,1557032,False,resnet,ppo,239987.0
358104,retrievers,35,1924776,False,cnn,ppo,299978.0
358103,chisboiz111,37,1395256,False,cnn,ppo,159997.0
358102,retrievers,37,1395256,False,cnn,ppo,139986.0
358089,chisboiz111,37,1395256,False,cnn,ppo,179994.0
358042,sazeglio,28,1925545,False,cnn,sac,
357967,loser1,37,1395256,False,cnn,ppo,199996.0
357961,retrievers,37,1395256,False,cnn,ppo,213526.0
357939,retrievers,35,1924776,False,cnn,ppo,179953.0
357906,loser1,37,1395256,False,cnn,ppo,500027.0
357749,sazeglio,28,1925545,False,cnn,sac,
357512,loser1,37,1395256,False,cnn,ppo,419973.0
357452,sazeglio,28,1925545,False,cnn,sac,
357286,retrievers,37,1395256,False,cnn,ppo,359971.0
357284,retrievers,37,1395256,False,cnn,ppo,339995.0
357280,retrievers,37,1395256,False,cnn,ppo,319983.0
357279,retrievers,37,1395256,False,cnn,ppo,299964.0
357276,retrievers,37,1395256,False,cnn,ppo,279999.0
357024,sazeglio,28,1925545,False,cnn,sac,
357019,loser1,37,1395256,False,cnn,ppo,239977.0
357016,retrievers,37,1395256,False,cnn,ppo,219981.0
357010,retrievers,37,1395256,False,cnn,ppo,199976.0
357009,retrievers,37,1395256,False,cnn,ppo,179989.0
357008,retrievers,37,1395256,False,cnn,ppo,159996.0
357001,retrievers,37,1395256,False,cnn,ppo,139997.0
356720,sazeglio,28,1925545,False,cnn,sac,
356381,gg_12345,35,1924776,False,cnn,ppo,
356291,sazeglio,28,1925545,False,cnn,sac,
356179,sazeglio,28,1925545,False,cnn,sac,
355979,dsadreddinov,70,778280,False,resnet,sac,
355848,sazeglio,28,1925545,False,cnn,sac,
355766,sazeglio,28,1925545,False,cnn,sac,
355715,dsadreddinov,70,778280,False,resnet,sac,
355688,sazeglio,28,1925545,False,cnn,sac,
355114,trungkiet93,37,1395256,False,cnn,ppo,99973.0
355113,loser1,37,1395256,False,cnn,ppo,214147.0
355108,loser1,37,1395256,False,cnn,ppo,199988.0
355107,loser1,37,1395256,False,cnn,ppo,103870.0
355106,loser1,37,1395256,False,cnn,ppo,179952.0
355079,loser1,37,1395256,False,cnn,ppo,1319995.0
355056,retrievers,37,1395256,False,cnn,ppo,1079998.0
354961,retrievers,37,1395256,False,cnn,ppo,299999.0
354909,retrievers,37,1395256,False,cnn,ppo,164929.0
354908,retrievers,37,1395256,False,cnn,ppo,2000005.0
354859,loser1,37,1395256,False,cnn,ppo,1182384.0
354855,loser1,37,1395256,False,cnn,ppo,139975.0
354854,loser1,37,1395256,False,cnn,ppo,159991.0
354799,retrievers,37,1395256,False,cnn,ppo,84298.0
354708,retrievers,37,1395256,False,cnn,ppo,39984.0
354678,retrievers,37,1395256,False,cnn,ppo,19964.0
354579,retrievers,39,1924776,False,cnn,ppo,20020.0
354512,retrievers,37,1395256,False,cnn,ppo,2059997.0
353928,retrievers,35,1924776,False,cnn,ppo,
353925,loser1,35,1924776,False,cnn,ppo,
353924,loser1,35,1924776,False,cnn,ppo,2086.0
353921,loser1,35,7622728,False,cnn,ppo,9983.0
353883,saidineshpola,29,1924779,False,cnn,ppo,
353853,loser1,35,7622728,False,cnn,ppo,9983.0
352920,aaravg42,35,4039848,False,cnn,ppo,
350156,kx2141,35,1924776,False,cnn,ppo,
345048,chisboiz111,33,1395256,False,cnn,ppo,
343055,chisboiz111,35,7622728,False,cnn,ppo,
341494,cclin,35,4039848,False,cnn,ppo,
339313,pajucg2,45,7625041,False,cnn,ppo,114204.0
337833,pajucg2,35,4039848,False,cnn,ppo,
336155,all_awareness,44,4858024,False,cnn,ppo,
